Document Type,Document Link,Description,Date
PX14A6G,https://www.sec.gov/Archives/edgar/data/21344/000121465925004431/0001214659-25-004431-index.htm,"Notice of exempt solicitation submitted by non-management
Acc-no: 0001214659-25-004431 (34 Act)  Size: 45 KB",3/17/2025
ARS,https://www.sec.gov/Archives/edgar/data/21344/000110465925024268/0001104659-25-024268-index.htm,"Annual Report to Security Holders
Acc-no: 0001104659-25-024268 (34 Act)  Size: 16 MB",3/17/2025
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000155837025003061/0001558370-25-003061-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001558370-25-003061 (34 Act)  Size: 584 KB",3/17/2025
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000155837025003059/0001558370-25-003059-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001558370-25-003059 (34 Act)  Size: 521 KB",3/17/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225009321/0001127602-25-009321-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-009321 Size: 7 KB",3/13/2025
144,https://www.sec.gov/Archives/edgar/data/21344/000195004725001751/0001950047-25-001751-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-25-001751 (33 Act)  Size: 4 KB",3/11/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225008968/0001127602-25-008968-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-008968 Size: 8 KB",3/11/2025
144,https://www.sec.gov/Archives/edgar/data/21344/000195004725001671/0001950047-25-001671-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-25-001671 (33 Act)  Size: 5 KB",3/7/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007435/0001127602-25-007435-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007435 Size: 9 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007432/0001127602-25-007432-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007432 Size: 8 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007429/0001127602-25-007429-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007429 Size: 6 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007427/0001127602-25-007427-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007427 Size: 8 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007425/0001127602-25-007425-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007425 Size: 7 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007423/0001127602-25-007423-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007423 Size: 9 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007420/0001127602-25-007420-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007420 Size: 8 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007418/0001127602-25-007418-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007418 Size: 5 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007416/0001127602-25-007416-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007416 Size: 8 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007414/0001127602-25-007414-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007414 Size: 9 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007412/0001127602-25-007412-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007412 Size: 8 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007410/0001127602-25-007410-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007410 Size: 5 KB",3/3/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007170/0001127602-25-007170-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007170 Size: 7 KB",2/28/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007084/0001127602-25-007084-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007084 Size: 8 KB",2/27/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007082/0001127602-25-007082-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007082 Size: 11 KB",2/27/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007080/0001127602-25-007080-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007080 Size: 12 KB",2/27/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225007078/0001127602-25-007078-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-007078 Size: 8 KB",2/27/2025
144,https://www.sec.gov/Archives/edgar/data/21344/000195004725001296/0001950047-25-001296-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-25-001296 (33 Act)  Size: 4 KB",2/26/2025
144,https://www.sec.gov/Archives/edgar/data/21344/000195004725001289/0001950047-25-001289-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-25-001289 (33 Act)  Size: 6 KB",2/26/2025
144,https://www.sec.gov/Archives/edgar/data/21344/000195004725001219/0001950047-25-001219-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-25-001219 (33 Act)  Size: 4 KB",2/25/2025
144,https://www.sec.gov/Archives/edgar/data/21344/000195004725001218/0001950047-25-001218-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-25-001218 (33 Act)  Size: 5 KB",2/25/2025
4,https://www.sec.gov/Archives/edgar/data/21344/000112760225006527/0001127602-25-006527-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-25-006527 Size: 5 KB",2/25/2025
